"DZA": Xmin=-8.66722    ;Xmax=11.98648    ;Ymin=18.97639   ;Ymax=37.08986   ;
"ECU": Xmin=-91.66389   ;Xmax=-75.21684   ;Ymin=-5.00031   ;Ymax=1.43778    ;
"EGY": Xmin=24.7068     ;Xmax=36.89583    ;Ymin=21.99416   ;Ymax=31.64694   ;
"ERI": Xmin=36.44328    ;Xmax=43.12138    ;Ymin=12.36389   ;Ymax=17.99488   ;
"ESH": Xmin=-17.10153   ;Xmax=-8.66639    ;Ymin=20.7641    ;Ymax=27.66696   ;
"ESP": Xmin=-18.16987   ;Xmax=4.31694     ;Ymin=27.6375    ;Ymax=43.7643    ;
"EST": Xmin=21.83736    ;Xmax=28.19409    ;Ymin=57.52263   ;Ymax=59.66472   ;
"ETH": Xmin=32.9918     ;Xmax=47.98824    ;Ymin=3.40667    ;Ymax=14.88361   ;
"FIN": Xmin=19.51139    ;Xmax=31.58196    ;Ymin=59.8068    ;Ymax=70.08861   ;
"FJI": Xmin=171         ;Xmax=180         ;Ymin=-19.16278  ;Ymax=-16.15347  ;
"FLK": Xmin=-61.14806   ;Xmax=-57.7332    ;Ymin=-52.34306  ;Ymax=-51.24945  ;
"FRA": Xmin=-4.79028    ;Xmax=9.56222     ;Ymin=41.36492   ;Ymax=51.09111   ;
"FRO": Xmin=-7.43347    ;Xmax=-6.38972    ;Ymin=61.38833   ;Ymax=62.3575    ;
"FSM": Xmin=158.1201    ;Xmax=163.04289   ;Ymin=5.26167    ;Ymax=6.97764    ;
"GAB": Xmin=8.70083     ;Xmax=14.51958    ;Ymin=-3.92528   ;Ymax=2.3179     ;
"GBR": Xmin=-8.17167    ;Xmax=1.74944     ;Ymin=49.95528   ;Ymax=60.84333   ;
"GEO": Xmin=40.00297    ;Xmax=46.71081    ;Ymin=41.04804   ;Ymax=43.58472   ;
"GHA": Xmin=-3.24889    ;Xmax=1.20278     ;Ymin=4.72708    ;Ymax=11.15569   ;
"GIB": Xmin=-5.35617    ;Xmax=-5.33451    ;Ymin=36.11207   ;Ymax=36.16331   ;
"GIN": Xmin=-15.08083   ;Xmax=-7.65337    ;Ymin=7.19393    ;Ymax=12.6775    ;
"GLP": Xmin=-61.79611   ;Xmax=-61.18708   ;Ymin=15.87      ;Ymax=16.51292   ;
"GMB": Xmin=-16.82167   ;Xmax=-13.79861   ;Ymin=13.05998   ;Ymax=13.82639   ;
"GNB": Xmin=-16.71777   ;Xmax=-13.64389   ;Ymin=10.9251    ;Ymax=12.68472   ;
"GNQ": Xmin=8.42417     ;Xmax=11.35389    ;Ymin=0.93015    ;Ymax=3.76333    ;
"GRC": Xmin=19.64       ;Xmax=28.23805    ;Ymin=34.93055   ;Ymax=41.74777   ;
"GRD": Xmin=-61.78518   ;Xmax=-61.59639   ;Ymin=11.99694   ;Ymax=12.23715   ;
"GRL": Xmin=-73.0536    ;Xmax=-12.15764   ;Ymin=59.79028   ;Ymax=83.6236    ;
"GTM": Xmin=-92.24678   ;Xmax=-88.21474   ;Ymin=13.74583   ;Ymax=17.82111   ;
"GUF": Xmin=-54.60378   ;Xmax=-51.64806   ;Ymin=2.11347    ;Ymax=5.75542    ;
"GUM": Xmin=144.63415   ;Xmax=144.95331   ;Ymin=13.235     ;Ymax=13.65229   ;
"GUY": Xmin=-61.38972   ;Xmax=-56.47063   ;Ymin=1.18687    ;Ymax=8.53528    ;
"HND": Xmin=-89.35049   ;Xmax=-83.13185   ;Ymin=12.98517   ;Ymax=16.43583   ;
"HRV": Xmin=13.50479    ;Xmax=19.425      ;Ymin=42.39999   ;Ymax=46.53583   ;
"HTI": Xmin=-74.46779   ;Xmax=-71.62918   ;Ymin=18.02278   ;Ymax=20.09146   ;
"HUN": Xmin=16.11181    ;Xmax=22.8948     ;Ymin=45.74833   ;Ymax=48.57618   ;
"IDN": Xmin=95.21094    ;Xmax=141.00702   ;Ymin=-10.92965  ;Ymax=5.91347    ;
"IND": Xmin=68.14423    ;Xmax=97.38054    ;Ymin=6.74583    ;Ymax=35.50562   ;
"IRL": Xmin=-10.47472   ;Xmax=-6.01306    ;Ymin=51.44555   ;Ymax=55.37999   ;
"IRN": Xmin=44.03495    ;Xmax=63.33027    ;Ymin=25.07597   ;Ymax=39.77916   ;
"IRQ": Xmin=38.7947     ;Xmax=48.56069    ;Ymin=29.06166   ;Ymax=37.38367   ;
"ISL": Xmin=-24.5384    ;Xmax=-13.49945   ;Ymin=63.39      ;Ymax=66.5361    ;
"ISR": Xmin=34.26758    ;Xmax=35.68111    ;Ymin=29.48671   ;Ymax=33.27027   ;
"ITA": Xmin=6.62397     ;Xmax=18.51444    ;Ymin=36.64916   ;Ymax=47.09458   ;
"JAM": Xmin=-78.3739    ;Xmax=-76.22111   ;Ymin=17.69722   ;Ymax=18.5225    ;
"JOR": Xmin=34.96041    ;Xmax=39.30111    ;Ymin=29.18889   ;Ymax=33.37759   ;
"JPN": Xmin=123.67886   ;Xmax=145.81241   ;Ymin=24.25139   ;Ymax=45.48638   ;
"KAZ": Xmin=46.49916    ;Xmax=87.34821    ;Ymin=40.59444   ;Ymax=55.44263   ;
"KEN": Xmin=33.90722    ;Xmax=41.90517    ;Ymin=-4.66962   ;Ymax=4.6225     ;
"KGZ": Xmin=69.2495     ;Xmax=80.28159    ;Ymin=39.19547   ;Ymax=43.2169    ;
"KHM": Xmin=102.3465    ;Xmax=107.63638   ;Ymin=10.42274   ;Ymax=14.70862   ;
"KIR": Xmin=-157.5817   ;Xmax=-157.17255  ;Ymin=1.705      ;Ymax=2.03305    ;
